No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
1344. Lò gốm Cổ Sành, Nhơn Hòa- An Nhơn, Lịch sử văn hóa, 2015, N/A
1345. Chùa Thập Tháp Di Đà, Nhơn Thành- An Nhơn, Lịch sử văn hóa, 1995, N/A
1346. Tháp Bánh Ít (tháp Bạc), Phước Hiệp- Tuy Phước, Lịch sử văn hóa, 1982, N/A
1347. Tháp Bình Lâm, Phước Hoà- Tuy Phước, Lịch sử văn hóa, 1993, N/A
1348. Đền thờ Danh nhân văn hóa Đào Tấn, Phước Nghĩa- Tuy Phước, Lịch sử văn hóa, 1990, N/A
1349. Địa điểm lưu niệm cuộc biểu tình năm 1931 tại Cây số 7 Tài Lương, Hoài Thanh Tây- Hoài Nhơn, Lịch sử văn hóa, 2011, N/A
1350. Căn cứ Núi Bà, Phù Cát, Lịch sử văn hóa, 1994, N/A
1351. Thành Cha, Nhơn Lộc- An Nhơn, Lịch sử văn hóa, 2003, N/A
1352. Chùa Nhạn Sơn, Nhơn Hậu- An Nhơn, Lịch sử văn hóa, 2001, N/A
1353. Mộ và đền thờ Đào Trí, Xuân Đài- Sông Cầu, Lịch sử văn hóa, 2015, số 2247/QĐ
1354. Quần thể hòn Yến, An Hòa- Tuy An, Danh thắng, 2018, N/A
1355. Địa điểm diễn ra cuộc tổng tiến công và nổi dậy Xuân Mậu Thân 1968, Phú Yên, Lịch sử, 2017, N/A
1356. Tháp Nhạn, Tuy Hòa, Kiến trúc nghệ thuật đăc biệt, 2018, N/A
1357. Mộ và đền thờ Lương Văn Chánh, Hòa Trị- Phú Hòa, Lịch sử văn hóa, 1996, N/A
1358. Chùa Từ Quang (Chùa Đá Trắng), An Dân- Tuy An, Lịch sử văn hóa, 1997, N/A
1359. Mộ và đền thờ Lê Thành Phương, An Hiệp- Tuy An, Lịch sử văn hóa, 1996, N/A
1360. Nơi thành lập Chi bộ Đảng Cộng sản Việt Nam đầu tiên tại Phú Yên, La Hai- Đồng Xuân, Lịch sử văn hóa, 1996, N/A
1361. Địa điểm Thảm sát Ngân Sơn - Chí Thạnh, Chí Thạnh- Tuy An, Lịch sử văn hóa, 1997, N/A
1362. Tàu không số trên vùng biển Vũng Rô, Hoà Xuân Nam- Đông Hoà, Lịch sử văn hóa, 1997, N/A
1363. Đường số 5 (nay là Quốc lộ 29), Tây Hòa & Đông Hòa, Lịch sử văn hóa, 1996, N/A
1364. Đầm Ô Loan, Tuy An, Danh thắng, 1996, N/A
1365. Gành Đá Đĩa, An Ninh Đông- Tuy An, Danh thắng, 1996, N/A
1366. Thành An Thổ, An Dân- Tuy An, Lịch sử khảo cổ, 1996, N/A
1367. Địa đạo Gò Thì Thùng, An Xuân- Tuy An, Lịch sử văn hóa, 1996, N/A
1368. Lẫm Phú Lâm, Phú Lâm- Tuy Hòa, Lịch sử kiến trúc, 1996, N/A
1369. Thành Hồ, Thị trấn Phú Hòa, Lịch sử khảo cổ, 1996, N/A
1370. Địa điểm Đồng khởi Hòa Thịnh, Hòa Thịnh- Tây Hòa, Lịch sử văn hóa, 1996, N/A
1371. Căn cứ của tỉnh Phú Yên trong kháng chiến chống Mỹ, Sơn Hòa, Lịch sử văn hóa, 1996, N/A
1372. Mũi Đại Lãnh - Bãi Môn, Hòa Tâm- Đông Hòa, Danh thắng, 1996, N/A
1373. Núi Đá Bia, Hòa Xuân Nam- Đông Hòa, Danh thắng, 2008, N/A
1374. Vịnh Xuân Đài, Thị xã Sông Cầu, Danh thắng, 2011, N/A
1375. Tháp Po Nagar, Vĩnh Phước- Tp. Nha Trang, Lịch sử văn hóa, 1979, N/A
1376. Hòn Chồng– Hòn Đỏ, Vĩnh Phước- Tp. Nha Trang, Danh thắng, 1998, N/A
1377. Vịnh Nha Trang, Tp. Nha Trang, Danh thắng, 2005, N/A
1378. Thành cổ Diên Khánh, thị trấn Diên Khánh, Lịch sử văn hóa, 1988, 1288/VH-QĐ
1379. Miếu thờ Trịnh Phong, Diên An- Diên Khánh, Lịch sử văn hóa, 1991, 1548–QĐ
1380. Đền thờ Trần Quý Cáp, thị trấn Diên Khánh, Lịch sử văn hóa, 1991, 1548-QĐ
1381. Văn Miếu Diên Khánh, thị trấn Diên Khánh, Lịch sử văn hóa, 1998, 04/1998/QĐ-BVH
1382. Am Chúa, Diên Điền- Diên Khánh, Lịch sử văn hóa, 1999, N/A
1383. Đình Phú Cang, Vạn Phú- Vạn Ninh, Lịch sử văn hóa, 1998, N/A
1384. Mũi Đôi – Hòn Đôi, Vạn Thạnh- Vạn Ninh, Danh thắng, 2005, N/A
1385. Lăng Bà Vú, Ninh Hiệp- Ninh Hòa, Lịch sử văn hóa, 1999, 05/1999-QĐ
1386. Phủ Đường Ninh Hòa, thị trấn Ninh Hòa, Lịch sử văn hóa, 2000, 16/2000/QĐ
1387. Địa điểm lưu niệm Tàu C235 (Đường Hồ Chí Minh trên biển), Ninh Vân- Ninh Hòa, Lịch sử cách mạng, 2014, 1262/QĐ-BVH
1388. Khu tưởng niệm bác sĩ Alexandre Yersin (Thư viện tại Viện Pasteur, chùa Linh Sơn và Mộ Yersin), Nha Trang & Cam Lâm, Lịch sử văn hóa, 1990, N/A
1389. Bia chủ quyền đảo Trường Sa tại đảo Song Tử Tây và đảo Nam Yết, , Lịch sử văn hóa, 2014, 1825/QĐ-BVH
1390. Di chỉ khảo cổ Hòa Diêm, Cam Thịnh Đông- Cam Ranh, Lịch sử văn hóa, 2014, 4108/QĐ-BVH
1391. Tháp Po Klong Garai, Phan Rang – Tháp Chàm, Lịch sử kiến trúc đặc biệt, 1979, 54/1979/QĐ; đặc biệt 2016
1392. Chùa Ông, Phan Rang – Tháp Chàm, Lịch sử, 2011, 1252/QĐ
1393. Đình Văn Sơn, Phan Rang – Tháp Chàm, Lịch sử, 1999, 01/1999/QĐ
1394. Miếu Xóm Bánh, Phan Rang – Tháp Chàm, Lịch sử, 2002, 39/2002/QĐ
1395. Đình Tấn Lộc, Phan Rang – Tháp Chàm, Lịch sử, 2005, 05/2005/QĐ
1396. Tháp Hòa Lai (Ba Tháp), Bắc Phong- Thuận Bắc, Lịch sử kiến trúc đặc biệt, 2013, 2499/QĐ-TTg (2016)
1397. Vịnh Vĩnh Hy, Vĩnh Hải- Ninh Hải, Danh thắng, 7/1/2020, 44/QĐ-BVHTTDL 
1398. Tháp Po Sah Inư (Tháp Chăm Phố Hài), Phú Hài- Phan Thiết, Lịch sử văn hóa, 1991, N/A
1399. Trường Dục Thanh, Đức Nghĩa- Phan Thiết, Lịch sử văn hóa, 1986, N/A
1400. Lăng mộ Nguyễn Thông, Phú Hài- Phan Thiết, Lịch sử văn hóa, 1999, N/A
1401. Dinh Vạn Thủy Tú, Đức Thắng- Phan Thiết, Lịch sử văn hóa, 1996, N/A
1402. Di tích hoàng tộc Chăm, Bắc Bình, Lịch sử văn hóa, 1993, N/A
1403. Chùa Cổ Thạch (chùa Hang), Bình Thạnh- Tuy Phong, Lịch sử văn hóa, 1993, N/A
1404. Bàu Trắng, Hòa Thắng- Bắc Bình, danh thắng, 2013, N/A
1405. Tháp Po Dam, Phú Lạc- Tuy Phong, Lịch sử kiến trúc, 1996, N/A
1406. Dinh Thầy Thím, Tân Tiến- La Gi, Lịch sử văn hóa, 1997, 2890/VH/QĐ
1407. Núi Tà Cú, Hàm Thuận Nam, Lịch sử văn hóa, 1993, N/A
1408. Vạn An Thạnh, Tam Thanh- Phú Quý, Lịch sử văn hóa, 1996, N/A
1409. Chùa Linh Quang, Tam Thanh- Phú Quý, Lịch sử văn hóa, 1996, N/A
1410. Hải Đăng Phú Quý, Ngũ Phụng- Phú Quý, Lịch sử văn hóa, 1996, N/A
1411. Chùa Linh Sơn, Phú Quý, Lịch sử văn hóa, 1996, N/A
1412. Đền thờ Công chúa Bàn Tranh, Phú Quý, Lịch sử văn hóa, 1996, N/A
1413. Kon Tum, Lịch sử, N/A, N/A, 1988
1414. Kon Tum, Lịch sử văn hóa, N/A, N/A, 
1415. Kon Tum, Văn hóa kiến trúc, N/A, N/A, Tức nhà thờ gỗ Kon Tum
1416. Địa điểm Chiến thắng Đăk Tô - Tân Cảnh, Đăk Tô, Lịch sử đặc biệt, 1992, 2499/QĐ-TTg (2016)
1417. Ngọc Hồi, Lịch sử, N/A, N/A, 2000
1418. Sa Thầy, Khảo cổ, N/A, N/A, 
1419. Kon Plông, Lịch sử và danh lam thắng cảnh, N/A, N/A, 2000
1420. Đăk Glei, Lịch sử, N/A, N/A, 1991
1421. Pleiku, Danh thắng, N/A, N/A, 
1422. Nhà lao Pleiku, Pleiku, Lịch sử cách mạng, 1994, 321/QĐ-BT
1423. Tây Sơn Thượng đạo, An Khê, Lịch sử văn hóa, 1991, N/A
1424. Luỹ An Khê, An Khê Đình, An Khê Trường và Gò Chợ, An Khê, Lịch sử văn hóa, 1993, N/A
1425. Chiến thắng Đắk Pơ (24/6/1954), Đak Pơ, Lịch sử cách mạng, 2001, N/A
1426. Chiến thắng đường 7 - Sông Bờ, Ia Sao- Ayun Pa, Lịch sử cách mạng, 2001, N/A
1427. Chiến thắng Plei Me, Ia Ga- Chư Prông, Lịch sử cách mạng, 1994, N/A
1428. Di tích Plei Ơi, Ayun Hạ- Phú Thiện, Lịch sử văn hóa, 1993, N/A
1429. Di tích Vườn Mít, Nghĩa An- Kbang, Lịch sử văn hóa, 1991, N/A
1430. Làng kháng chiến Stơr, Tơ Tung- Kbang, Lịch sử, 1993, N/A
1431. Di tích Rộc Tưng - Gò Đá, An Khê, Lịch sử văn hóa, 2020, N/A
1432. Biệt điện Bảo Đại, Buôn Ma Thuột, Lịch sử văn hóa, 1999, N/A
1433. Đình Lạc Giao, Buôn Ma Thuột, Lịch sử văn hóa, 1990, N/A
1434. Nhà đày Buôn Ma Thuột, Buôn Ma Thuột, Lịch sử đăc biệt, 1980, đăc biệt 2018
1435. Khu Đồn điền Cada, Krông Pắc, Lịch sử văn hóa, 1999, N/A
1436. Thác Dray Kpơr, Ea Kar, Danh thắng, 2004, N/A
1437. Thác Thủy Tiên, Krông Năng, Danh thắng, 2009, N/A
1438. Thắng cảnh Hồ Lăk, Lăk, Danh thắng, 1993, N/A
1439. Tháp Chăm Yang Prong, Ea Súp, Văn hóa kiến trúc, 1991, N/A
1440. Hang đá Dak Tuar, Krông Bông, Lịch sử, 1991, N/A
1441. Khu căn cứ kháng chiến tỉnh Đắk Lắk (1965-1975), Cư Pui & Hòa Phong- h. Krông Bông, Lịch sử, 2017, số 822/QĐ
1442. Thác Dray Sáp Thượng (thác Gia Long), Krông Ana & Krông Nô, Danh thắng, 1999, N/A
1443. Thác Đray Nur, Krông Ana, Danh thắng, 2004, N/A
1444. Thác Drai Dlông, Cư M'gar, Danh thắng, 2004, N/A
1445. Thác Drai Yông, Ea M’nang- Cư M’gar & Cuôr Knia- Buôn Đôn, Danh thắng, 2017, số 823/QĐ
1446. Ga Đà Lạt, Đà Lạt, Lịch sử, 2001, N/A
1447. Trường Cao đẳng Sư phạm Đà Lạt, Đà Lạt, Văn hóa kiến trúc, 2001, N/A
1448. Hồ Than Thở, Đà Lạt, Danh thắng, 1998, N/A
1449. Hồ Tuyền Lâm, Đà Lạt, Danh thắng, 1998, N/A
1450. Hồ Xuân Hương, Đà Lạt, Danh thắng, 1989, N/A
1451. Nhà lao thiếu nhi Đà Lạt, Đà Lạt, Lịch sử, 2009, N/A
1452. Thác Cam Ly, Đà Lạt, Danh thắng, 1998, N/A
1453. Thác Datanla, Đà Lạt, Danh thắng, 1998, N/A
1454. Thác Prenn, Đà Lạt, Danh thắng, 1998, N/A
1455. Hồ Đạ Tẻh, Đạ Tẻh, Danh thắng, 2004, N/A
1456. Núi Langbiang, Lạc Dương, Danh thắng, 2004, N/A
1457. Thánh địa Cát Tiên, Cát Tiên, Lịch sử văn hóa đặc biệt, 1997, đặc biệt 2014, số 2408/QĐ-TTg
1458. Vườn quốc gia Cát Tiên, Đồng Nai- Lâm Đồng- Bình Phước, Danh thắng đặc biệt, 2012, 1419/QĐ-TTg, UNESCO công nhận là Khu dự trữ sinh quyển thế giới
1459. Thác J'rai Bliang (Thác Đá Cao), Đức Trọng, Danh thắng, 2000, N/A
1460. Thác Gougah, Đức Trọng, Danh thắng, 2000, N/A
1461. Thác Liên Khương, Đức Trọng, Danh thắng, 2000, N/A
1462. Thác Pongour, Phú Hội- Đức Trọng, Danh thắng, 2000, N/A
1463. Thác Voi (Thác Liêng Rơwoa), Lâm Hà, Danh thắng, 2001, N/A
1464. Ngục Đăk Mil, Đăk Mil, Lịch sử, 2005, N/A
1465. Địa điểm chiến thắng Đồi 722 – Đăk Săk, Đăk Mil, Lịch sử, 2012, N/A
1466. Căn cứ kháng chiến B4 – Liên tỉnh IV, Krông Nô, Lịch sử, 2005, N/A
1467. Địa điểm lưu niệm N’Trang Gưh, Krông Nô, Lịch sử, 2011, N/A
1468. Thác Đray Sáp, Krông Nô, Danh thắng, 1991, N/A
1469. Các địa điểm về phong trào đấu tranh chống thực dân Pháp của đồng bào M’nông do N’Trang Lơng lãnh đạo, Tuy Đức, Lịch sử, 2007, N/A
1470. Địa điểm bắt liên lạc khai thông đường Hồ Chí Minh – đoạn Nam Tây Nguyên đến Đông Nam Bộ, 10/1960, Gia Nghĩa & Đăk Song, Lịch sử, 2011, N/A
1471. Địa điểm chiến thắng Chiến dịch Tây Quảng Đức (11/1973 - 4/1974, Chi khu Kiến Đức), Kiến Đức- Đăk R'Lấp, Lịch sử, 7/1/2020, 39/QĐ-BVHTTDL 
1472. Mộ Cự thạch Hàng Gòn, Xuân Thanh- Long Khánh, Lịch sử Khảo cổ đặc biệt, 2015, 2367/QĐ-TTg
1473. Nhà Xanh, Thống Nhất- Biên Hòa, Lịch sử, 1986, 235/VH/QĐ
1474. Đài Chiến sĩ (Đài kỷ niệm), Trung Dũng- Biên Hòa, Lịch sử, 1988, 1288/VH/QĐ
1475. Khu Danh thắng Bửu Long, Bửu Long- Biên Hòa, Danh thắng, 1990, 208/VH/QĐ
1476. Chùa Đại Giác, Hiệp Hòa- Biên Hòa, Lịch sử văn hóa, 1990, 993/QĐ
1477. Mộ Trịnh Hoài Đức, Trung Dũng- Biên Hòa, Lịch sử, 1990, 1539/QĐ
1478. Đình Tân Lân, Hòa Bình- Biên Hòa, Lịch sử văn hóa, 1991, 457/QĐ
1479. Mộ và Đền thờ Nguyễn Hữu Cảnh, Hiệp Hòa- Biên Hòa, Lịch sử, 1991, 457/QĐ
1480. Chùa Long Thiền, Bửu Hòa- Biên Hòa, Lịch sử, 1991, 1057/QĐ
1481. Nhà hội Bình Trước, Thanh Bình- Biên Hòa, Lịch sử, 1991, 2307/QĐ
1482. Quảng trường Sông Phố, Thanh Bình- Biên Hòa, Lịch sử, 1991, 2307/QĐ
1483. Đền thờ Nguyễn Tri Phương, Bửu Hòa- Biên Hòa, Lịch sử văn hóa, 1992, 97/QĐ
1484. Nơi diễn ra cuộc nổi dậy phá Nhà lao Tân Hiệp 02/12/1956, Tân Tiến- Biên Hòa, Lịch sử văn hóa, 1994, 2754/QĐ/BT
1485. Mộ, Đền thờ Đoàn Văn Cự & 16 Nghĩa binh Thiên Địa Hội, Tam Hiệp- Biên Hòa, Lịch sử văn hóa, 1998, 722/QĐ
1486. Chùa Ông (Biên Hòa), Hiệp Hòa- Biên Hòa, Lịch sử văn hóa, 2001, 04/2001/QĐ
1487. Thành cổ Biên Hòa, Quang Vinh- Biên Hòa, Lịch sử, 2013, 3995/QĐ
1488. Đình An Hòa, An Hòa- Long Thành, Kiến trúc nghệ thuật, 1989, 100/VH/QĐ
1489. Văn miếu Trấn Biên, Bửu Long- Biên Hòa, Lịch sử, 2016, 2894/QĐ
1490. Tòa hành chính tỉnh Long Khánh, Xuân An- Long Khánh, Lịch sử, 1988, 1288/VH/QĐ
1491. Mộ Nguyễn Đức Ứng và 27 Nghĩa binh chống Pháp, Long Phước- Long Thành, Lịch sử văn hóa, 1994, 2754/QĐ/BT
1492. Ngã ba Giồng Sắn (Địa điểm Vụ thảm sát Giồng Sắn), Phú Hữu- Nhơn Trạch, Lịch sử, 2014, 3068/QĐ
1493. Địa đạo Nhơn Trạch, Long Thọ- Nhơn Trạch, Lịch sử văn hóa, 2001, 04/2001/QĐ
1494. Căn cứ Sở Chỉ huy Đặc khu Quân sự Rừng Sác và Đoàn 10 Đặc công Rừng Sác, Phước An- Nhơn Trạch, Lịch sử, 2014, 2105/QĐ
1495. Căn cứ Khu ủy miền Đông Nam Bộ (Chiến khu Đ), Hiếu Liêm- Vĩnh Cửu, Lịch sử văn hóa, 1997, 3744/QĐ
1496. Địa đạo Suối Linh, Hiếu Liêm- Vĩnh Cửu, Lịch sử văn hóa, 1999, 61/1999/QĐ
1497. Căn cứ Trung ương Cục miền Nam, Phú Lý- Vĩnh Cửu, Lịch sử văn hóa, 2001, 02/2001/QĐ
1498. Địa điểm chiến thắng La Ngà, Phú Ngọc- Định Quán, Lịch sử, 1986, 235/VH/QĐ
1499. Đá chồng Định Quán (Đá Ba Chồng), Tt. Định Quán- Định Quán, Danh thắng, 1988, 1288/VH/QĐ
1500. Địa điểm thành lập Đoàn 125. Tiền thân của lực lượng vũ trang đoàn kết cứu nước Campuchia, Long Giao- Cẩm Mỹ, Lịch sử, 2011, 4317/QĐ
1501. Núi Chứa Chan, Xuân Lộc, Danh thắng cảnh, 2012, 1204/QĐ
1502. Vườn quốc gia Cát Tiên, Đồng Nai- Lâm Đồng- Bình Phước, Danh thắng đặc biệt, 2011, 1419/QĐ-TTg
1503. Căn cứ Tà Thiết (Căn cứ BCH Quân giải phóng miền Nam Việt Nam; Căn cứ BCH Chiến dịch Hồ Chí Minh), Lộc Thịnh- Lộc Ninh, Lịch sử văn hóa cách mạng, 1988, đặc biệt 2015
1504. Núi Bà Rá, Thác Mơ & Sơn Giang- Phước Long, Lịch sử danh thắng, 1995, N/A
1505. Mộ 3000 đồng bào An Lộc bị đế quốc Mỹ tàn sát ngày 03/10/1972, An Lộc- Bình Long, Lịch sử văn hóa, 1985, N/A
1506. Nhà giao tế Lộc Ninh (Trụ sở CP CMLT Cộng hòa miền Nam Việt Nam), Lộc Ninh- Lộc Ninh, Lịch sử văn hóa cách mạng, 1986, N/A
1507. Sân bay quân sự Lộc Ninh, Lộc Ninh- Lộc Ninh, Lịch sử, 1986, N/A
1508. Bồn xăng kho nhiên liệu VK98 (Cục Hậu cần B2), Lộc Quang- Lộc Ninh, Lịch sử cách mạng đặc biệt, 1989, KDT Đường Trường Sơn, đặc biệt 2014
1509. Bồn xăng kho nhiên liệu VK99 (Cục Hậu cần B2), Lộc Hòa- Lộc Ninh, Lịch sử, 1989, KDT Đường Trường Sơn
1510. Điểm cuối Đường ống xăng dầu VK96 (Cục Hậu cần B2), Bù Gia Mập, Lịch sử cách mạng đặc biệt, 2014, KDT Đường Trường Sơn
1511. Địa điểm căn cứ Cục hậu cần Quân giải phóng miền Nam Việt Nam (1973-1975), Lộc Hiệp- Lộc Ninh, Lịch sử cách mạng, 2014, N/A
1512. Địa điểm Cuộc nổi dậy của đồng bào Stiêng (Mả thằng Tây), Lộc Hòa- Lộc Ninh, Lịch sử văn hóa, 1989, N/A
1513. Phú Riềng Đỏ, Thuận Phú- Đồng Phú, Lịch sử cách mạng, 1999, N/A
1514. Địa điểm chiến thắng chốt chặn Tàu Ô, Hớn Quản, Lịch sử cách mạng, 2012, N/A
1515. Chiến thắng Đồng Xoài, 1965, Tân Phú- Đồng Xoài, Lịch sử cách mạng, 2014, N/A
1516. Địa đạo Tây Nam Bến Cát, An Điền- An Tây- Phú An, Lịch sử văn hóa, 18/3/1996, 460/QĐ/BT
1517. Sở chỉ huy tiền phương chiến dịch Hồ Chí Minh, Minh Tân- Dầu Tiếng, Lịch sử cách mạng, 11/5/2010, 1630/QĐ
1518. Nhà tù Phú Lợi, Phú Lợi- Thủ Dầu Một, Lịch sử, 10/07/1980, 92/VH/QĐ
1519. Chiến khu Đ, Đất Cuốc- Tân Uyên, Lịch sử cách mạng, 11/5/2010, 1631/QĐ
1520. Nhà cổ Trần Văn Hổ, Phú Cường- Thủ Dầu Một, Lịch sử văn hóa, 29/4/1993, 43/VH/QĐ
1521. Nhà cổ Trần Công Vàng, Phú Cường- Thủ Dầu Một, Lịch sử văn hóa, 07/01/1993, 43/VH/QĐ
1522. Chùa Hội Khánh, Phú Cường- Thủ Dầu Một, Lịch sử văn hóa, 07/01/1993, 43/VH/QĐ
1523. Đình Tân An (Bến Thế), Tân An-Thủ Dầu Một, Lịch sử văn hóa, 26/4/2014, 1261/QĐ
1524. Núi Châu Thới và Chùa Châu Thới, Bình An- Dĩ An, Danh thắng văn hóa, 21/04/1989, 451VH/QĐ
1525. Cù Lao Rùa (Cù Lao Thạnh Hội), Thạnh Hội- Tx. Tân Uyên, Lịch sử khảo cổ, 03/03/2009, 836/QĐ
1526. Di tích khảo cổ học Dốc Chùa, Tân Mỹ- Tân Uyên, Lịch sử khảo cổ, 28/12/2001, 53/QĐ
1527. Đình Phú Long, Lái Thiêu- Thuận An, Lịch sử văn hóa, 28/12/2001, 53/QĐ
1528. Căn cứ Trung ương cục miền Nam, Tân Lập- Tân Biên, Lịch sử đặc biệt, 10/5/2012, 548/QĐ-TTg
1529. Địa điểm Ban Dân y Trung ương Cục miền Nam, Tân Lập- Tân Biên, Lịch sử, 7/1/2020, 36/QĐ 
1530. Căn cứ Dương Minh Châu, Phước Ninh- Dương Minh Châu, Lịch sử văn hóa, 13/9/1999, 61/1999/QĐ
1531. Căn cứ Tỉnh ủy Tây Ninh tại Bời Lời, Đôn Thuận- Trảng Bàng, Lịch sử văn hóa, 26/1/1999, số 02/1999/QĐ
1532. Căn cứ Ban an ninh Trung ương cục miền Nam, Tân Lập- Tân Biên, Lịch sử văn hóa, 23/12/1995, 3777/QĐ-BT
1533. Tòa thánh Cao Đài, Long Thành Bắc- Hòa Thành, Lịch sử kiến trúc tôn giáo, xx, N/A
1534. Núi Bà Đen, Thạnh Tân- Tp. Tây Ninh, Lịch sử văn hóa, 21/01/1989, N/A
1535. Địa điểm Chiến thắng Junction City, Tt. Tân Châu- Tân Châu, Lịch sử văn hóa, 12/11/2013, 3989/QĐ
1536. Địa điểm Vành đai diệt Mỹ Trảng Lớn, Tt. Châu Thành- Châu Thành, Lịch sử văn hóa, 2013, N/A
1537. Địa điểm thành lập cơ sở Đảng Cộng sản đầu tiên tỉnh Tây Ninh, Long Vĩnh- Châu Thành, Lịch sử văn hóa, 2013, N/A
1538. Nhà tù Côn Đảo, Côn Đảo, Lịch sử cách mạng đặc biệt, 10/5/2012, 548/QĐ-TTg
1539. Bạch Dinh, P.1- Tp.Vũng Tàu, Lịch sử văn hóa, 04/08/1992, 983VH/QĐ
1540. Trận địa pháo cổ và Hầm thủy lôi Núi Lớn, P.5- Tp.Vũng Tàu, Lịch sử, 04/08/1992, 983/QĐ
1541. Nhà má Tám Nhung, nhà 42/11, P.6- Tp.Vũng Tàu, Lịch sử cách mạng, 14/12/1989, 1987/VH-QĐ
1542. Trụ sở Ủy ban Việt Minh tại Vũng Tàu, P.1- Tp.Vũng Tàu, Lịch sử cách mạng, 25/03/1991, 457/QĐ
1543. "Nhà cao cẳng" số 18 Lê Lợi, P.1- Tp.Vũng Tàu, Lịch sử cách mạng, 03/08/1991, 1371/QĐ
1544. Nhà số 86 Phan Chu Trinh, P.2- Tp.Vũng Tàu, Lịch sử cách mạng, 04/08/1992, 983VH/QĐ
1545. Đồn nhà máy nước, P.9- Tp.Vũng Tàu, Lịch sử cách mạng, 04/08/1992, 983VH/QĐ
1546. Nhà ông Trương Quang Vinh số 18/5, P.7- Tp.Vũng Tàu, Lịch sử cách mạng, 25/03/1991, 457/QĐ
1547. Khu di tích Đình Thắng Tam (đình Thắng Tam, Lăng Cá Ông, Miếu Bà), Thắng Tam- Tp.Vũng Tàu, Lịch sử văn hóa, 25/03/1991, 457/QĐ
1548. Chùa Linh Sơn (Linh sơn Cổ tự), P.2 Tp.Vũng Tàu, Lịch sử văn hóa, 03/08/1991, 1371/QĐ
1549. Thích Ca Phật Đài, P.5- Tp.Vũng Tàu, Lịch sử văn hóa danh thắng, 14/12/1989, 1987/VH.QĐ
1550. Chùa Phước Lâm (Phước Lâm Tự), P.6- Tp.Vũng Tàu, Lịch sử văn hóa, 04/08/1992, 983/QĐ
1551. Nhà Lớn Long Sơn (đền Ông Trần), Long Sơn- Tp.Vũng Tàu, Lịch sử văn hóa, 03/08/1991, 1371/QĐ
1552. Niết Bàn Tịnh Xá, P.2- Tp.Vũng Tàu, Lịch sử văn hóa nghệ thuật, 14/12/1989, 1987/VH-QĐ
1553. Ăng-ten parabol viba Núi Lớn, P.5- Tp.Vũng Tàu, Lịch sử, 23/07/1993, 937QĐ/BT
1554. Trận địa pháo cổ trên núi Tao Phùng (Núi Nhỏ), P2- Tp.Vũng Tàu, Lịch sử, 18/01/1993, 57VH/QĐ
1555. Cầu Đá Vũng Tàu, P2- Tp.Vũng Tàu, Lịch sử, 20/07/1994, 921QĐ/BT
1556. Nhà Tròn Bà Rịa, Phước Hiệp- Tp.Bà Rịa, Lịch sử cách mạng, 05/06/1987, 112VH/QĐ
1557. Địa đạo Long Phước, Long Phước- Tp.Bà Rịa, Lịch sử cách mạng, 09/01/1990, 34/VH-QĐ
1558. Khu Hang Dơi va Chùa Diệu Linh (Căn cứ Núi Dinh), Kim Dinh- Tp.Bà Rịa, Lịch sử cách mạng, 16/12/1993, 2015VH/QĐ
1559. Căn cứ Núi Dinh, Tân Hải- Tân Thành, Lịch sử cách mạng, 16/12/1993, 2015VH/QĐ
1560. Địa đạo Hắc Dịch, Hắc Dịch-... Tân Thành, Lịch sử cách mạng, 19/01/2001, 04/201/QĐ
1561. Chiến thắng Bình Giã (chi khu quân sự Đức Thạnh, ngã ba Bình Giã, ngã ba Sông Cầu, ngã ba Quảng Giáo), Bình Giã-... Châu Đức, Lịch sử cách mạng, 15/10/1994, 2754QĐ/BT
1562. Địa đạo Kim Long, Kim Long- Châu Đức, Lịch sử cách mạng, 20/07/1994, 961QĐ/BT
1563. Bến Lộc An (Đường Hồ Chí Minh trên biển), Phước Thuận- Xuyên Mộc, Lịch sử cách mạng, 20/04/1995, 1568QĐ/BT
1564. Nhà lưu niệm và tượng đài anh hùng Võ Thị Sáu, Tt. Đất Đỏ- Đất Đỏ, Lịch sử cách mạng, 06/12/1989, 199VH/QĐ
1565. Căn cứ Minh Đạm, Phước Hải- Đất Đỏ, Lịch sử cách mạng, 18/01/1993, 57VH/QĐ
1566. Dinh Cô, Tt. Long Hải- Long Điền, Lịch sử văn hóa, 16/01/1995, 65QĐ/BT
1567. Chùa Long Bàn, Tt. Long Điền- Long Điền, Lịch sử văn hóa kiến trúc, 19/04/1991, 680/QĐ
1568. Tòa Đại sứ quán Mỹ Nay là Tổng lãnh sự quán Hoa Kỳ, Quận 1, Lịch sử, 1976, N/A
1569. Dinh Độc Lập, Quận 1, Lịch sử kiến trúc đặc biệt, 1976, đặc biệt 2009
1570. Nơi thành lập Kỳ bộ Việt Nam Thanh niên cách mạng đồng chí Hội - năm 1928, Quận 1, Lịch sử, 1988, N/A
1571. Nơi thành lập An Nam Cộng sản Đảng năm 1929, Quận 1, Lịch sử, 1988, N/A
1572. Trụ sở báo Dân Chúng, Quận 1, Lịch sử, 1988, N/A
1573. Địa điểm lưu niệm Chủ tịch Tôn Đức Thắng tại khu vực Ba Son, Quận 1, Lịch sử, 2016, N/A
1574. Điện Ngọc Hoàng, Quận 1, Văn hóa kiến trúc, 1994, N/A
1575. Miếu Thiên Hậu (Quảng Triệu hội quán), Quận 1, Văn hóa kiến trúc, 1998, N/A
